,Name,Price,Retailer,Stars,Description
0,Apple iPhone 6s - 32 GB - Space Gray - Unlocked - CDMA/GSM,50.00 US$,from 5+ stores,4.5 out of 5 stars,"The moment you use iPhone 6s, you know you've never felt anything like it. With just a single press, 3D Touch lets you do more than ever before ..."
1,Apple iPhone 7 Plus - 32 GB - Rose Gold - Unlocked - CDMA/GSM,336.00 US$,from 10+ stores,4.5 out of 5 stars,"It features the all-new 12MP wide-angle and telephoto cameras, splash, water, and dust resistance, an A10 Fusion chip, a new Retina HD display ..."
2,"Samsung Galaxy S9+ SE, 64GB, Midnight Black",600.00 US$,Visible ,none,Introducing the all new Samsung Galaxy S9+ that features a 6.2 inch edge-to-edge Infinity display. Get audio flexibility with a headphone jack ...
3,iPhone XR - 128GB Black - Unlocked & SIM-free - Apple,799.00 US$,Apple,none,iPhone XR. Brilliant. In every way. All-new Liquid Retina display — the most advanced LCD in the industry. Even faster Face ID. The smartest ...
4,"ZTE R2, 32GB, Silver",19.00 US$,Visible ,none,"Introducing the brand new Visible R2a, designed by ZTE exclusively for Visible customers. Get the best of Android on a bright 5.45"" HD+ seamless ..."
5,Samsung Galaxy Note10+ - 256 GB - Aura Glow Unlocked,0.00 US$,from 4 shops,none,"Carry your small business, big ideas and task lists with you everywhere on Note10+, the most expansive Note ever. Packed with processing power ..."
6,"Google Pixel 3, Clearly White - Sprint",799.00 US$,Sprint,4.4 out of 5 stars,"Hey Google, what's new with Pixel? Capture the perfect shot every time, get things done with the Google Assistant(1), enjoy an all-day battery(2 ..."
7,Samsung Galaxy Note10 - 256 GB - Aura White - Unlocked,949.99 US$,from 3 shops,none,"Packed with power - Note10 gives you the power of S Pen and ultimate productivity in a compact form at an all new 6.3"" Infinity Display."
8,Motorola Moto Z4 - 128 GB - Flash Gray - Verizon - CDMA/GSM,499.99 US$,from 5+ stores,4.3 out of 5 stars,Say hello to the moto z4 packed with incredible features. Shoot epic photos with a 48 MP camera sensor. Get lost in a massive OLED display with ...
9,Samsung Galaxy J3 (2018) - 16 GB - Black - Unlocked - GSM,100.00 US$,from 3 shops,3.4 out of 5 stars,An easy-to-use Galaxy smartphone designed for your lifestyle. Shoot and share on a simple camera with plenty of storage to keep your photos. With ...
10,Apple iPhone XR - 128 GB - Black - Verizon,0.00 US$,from 5+ stores,4.6 out of 5 stars,An advanced LCD. Even faster Face ID. And a breakthrough camera system. The iPhone XR is beautiful any way you look at it.
11,Samsung Galaxy S10e - 128 GB - Flamingo Pink - Unlocked - CDMA/GSM,0.00 US$,from 5+ stores,4.5 out of 5 stars,"Business keeps getting faster every day and you need to be able to work anywhere - flexibly and collaboratively. With the Galaxy S10e, you can do ..."
12,Apple iPhone 7 - 32 GB - Black - Unlocked - GSM,449.00 US$,from 10+ stores,4.5 out of 5 stars,"The iPhone 7 with significant camera improvements, a new glossy black color, better battery life, faster processors, and improved water resistance ..."
13,Apple iPhone X - 64 GB - Space Gray - AT&T - GSM,30.00 US$,from 20+ stores,4.6 out of 5 stars,"The iPhone X's display is so immersive, the device itself disappears into the experience. And so intelligent it can respond to a tap, your voice ..."
14,Apple iPhone 7 - 128 GB - Silver - Verizon - CDMA/GSM,0.00 US$,from 3 shops,4.5 out of 5 stars,"An entirely new camera system. The brightest, most colorful iPhone display ever. The fastest performance and best battery life in an iPhone. Water ..."
15,"Motorola moto g⁷ power in Marine Blue, Size: ³² GB with installment",0.00 US$,Verizon Wireless,none,Go ahead and live your life - without worrying about battery life. moto g7 power gives you up to 3 days on a single charge. And when it's time to ...
